"AGEGE24","PCT_BLACK","PCT_HISPANIC","PCT_GRAD_PROF","PCT_BORN_US","MEDIAN_HH_INC","UNEMP_RATE","SD_EARN_WNE_P10","COUNT_WNE_INDEP0_P10","PCT75_EARN_WNE_P6","COUNT_WNE_INDEP0_INC1_P6","COUNT_WNE_MALE0_P6","PCT10_EARN_WNE_P8","COUNT_NWNE_P9","GT_25K_P9","Aggrcluster_labels"
0.479999989,1.919999957,14.60999966,6.739999771,92.62999725,45219.99,6.809999943,23200,91,30200,65,294,1900,9,0.602409554380489,1
0.540000021,3.99000001,35.88999939,7.25,84.83999634,47198.06,3.369999886,16900,27,42605.7426151622,246.163120567376,2870.90384615385,3600,29,0.353658527,1
0.460000008,4.519999981,35.18000031,5.239999771,80.95999908,52276.12,4.960000038,30200,561,34700,190,54,5000,149,0.604895115,1
0.560000002,4.059999943,40.72999954,6.099999905,83.72000122,50758.42,3.980000019,17200,302,29500,182,1785,3000,683,0.455460489,1
0.25,3.49000001,19.20000076,9.539999962,86.95999908,69074.33,3.150000095,44200,8190,54300,1548,8082,12100,1420,0.795016468,2
0.310000002,2.75,61.04999924,4.010000229,67.68000031,41365.15,7.920000076,24600,1067,34000,634,1448,5200,387,0.498039216,1
0.170000002,3.349999905,22.52000046,11.43000031,86.43000031,64708.31,3.269999981,45300,4681,54000,900,3497,11700,742,0.760759056,2
0.479999989,3.099999905,29.21999931,11.64000034,89.59999847,56683.5,3.359999895,23100,145,35900,33,116,6100,75,0.538681924,1
0.5,3.269999981,32.70999908,4.699999809,88.23000336,49319.55,4.300000191,24200,449,38000,205,915,4400,276,0.551948071,1
0.589999974,3.359999895,38.90000153,7.46999979,83.81999969,45529.6,3.690000057,20300,356,37900,70,1168,6200,87,0.571022749,1
0.460000008,0.620000005,11.01000023,4.179999828,93.12000275,46757.68,3.230000019,22200,26,42605.7426151622,12,2870.90384615385,7870.1794231206,31,0.246376812,1
0.479999989,4.940000057,37.97000122,6,81.54000092,44599.32,3.380000114,27100,542,35300,293,620,4400,364,0.597719848,1
0.529999971,2.099999905,16.72999954,8.970000267,90.25,60995.61,2.960000038,17600,897,26100,49,315,2200,82,0.317460328,1
0.529999971,2.099999905,16.72999954,8.970000267,90.25,60995.61,2.960000038,17600,897,26100,49,315,2200,82,0.317460328,1
0.620000005,4.610000134,25.13999939,10.93999958,87.54000092,54064.81,3.200000048,20600,31,30200,12,127,3800,34,0.414634138,1
0.449999988,3.039999962,19.54000092,7.829999924,87.87000275,66538.28,2.940000057,17000,50,28600,15,2870.90384615385,4100,42,0.362831861,3
0.330000013,3.380000114,22.64999962,5.730000019,94.26000214,44403.48,6.050000191,27200,403,38900,193,375,4100,320,0.541003644,1
